분류,제목,회사명,경력유무,학력,성별,연령,전공,장애인채용구분,우대조건,고용형태,직무,담당업무,직급,직책,근무지역,근무시간/요일,근무형태,복리후생,근무기간,급여조건,계약기간,작업환경,장애인편의시설,담당자명,연락처,이메일,접수기간,접수방법,전형일정,홈페이지,적합장애유형,부적합장애유형,기업정보.업종,기업정보.사원수,기업정보.대표자,기업정보.기업형태,기업정보.주소
미용·여행·숙박·음식·경비·돌봄·청소,국립어린이청소년도서관 공무직 근로자(미화) 장애인 제한경쟁 채용공고,국립어린이청소년도서관,관계없음,학력무관,,,,장애인만 채용,관련 경력 1년 이상 시,기간의 정함이 없는 근로계약,시설물 청소원(미화),도서관 외곽 및 내부 청소작업,,,(06130) 서울특별시 강남구 테헤란로7길 21 (역삼동),"주 5일 근무, (오전) 7시 00분 ~ (오후) 4시 00분",정규직,"4대보험 가입, 명절재해금(설, 추석 각 55만원), 맞춤형 복지포인트 연 50만원 상당 지급, 시간외근무수당 별도 지급",,"월급 2,200,740원 이상 ~ 2,200,740원 이하",,,,,02-3413-4713,,~ 2024-07-17,"방문, 우편, 팩스, 이메일",,,"['지체장애(경증)', '시각장애(경증)', '청각장애(경증)']","['뇌병변장애(중증)', '정신장애']",기타 일반 공공 행정,70 명,박주옥,,06130 서울특별시 강남구 테헤란로7길 21 (역삼동)
기타,사단법인 강원장애인자립생활센터협의회 춘천지부 춘천호반장애인자립생활센터 소장직 채용 공고,사단법인 강원장애인자립생활센터협의회,경력 (최소 3년) 필수,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약,장애인자립생활센터 소장,장애인자립생활센터 운영 총괄 및 관련 업무,,,강원특별자치도 춘천시 삭주로 3 (교동),"주 5일, 오전 9시 ~ 오후 6시 (휴게시간 12시 ~ 13시)",주5일 근무,,,"월급 2,516,800원 이상, 상여금 120% (미 포함), 면접 후 협의 가능",,,,박수은,033-743-3399,gwcil5853@naver.com,2024.07.04 - 채용시까지,"우편, 전자우편, 워크넷",,https://www.ablejob.co.kr/recruit/gwcil.kr,"['지체장애(경증)', '시각장애(경증)', '청각장애(경증)']","['뇌병변장애(중증)', '정신장애']",그 외 기타 비거주 복지 서비스업,9 명,김용섭,,"26447 강원특별자치도 원주시 무실로 195, 5층 (명륜동, 중원빌딩)"
설치·정비·생산·화학·환경·섬유·의복·식품가공,"[장애인채용]미싱사,재봉사 등 의류 생산관련 직원 구합니다.","(주)신호에이피엘(SHINHOAPLCo.,Ltd)",경력 (최소 3년) 필수,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 3개월 / 계약기간 만료 후 상용직 전환 검토,"미싱사, 재봉사 등 의류 생산 관련 업무",의류수선 및 라벨 부착 등 기타 봉제 관련 업무,,,"(02262) 서울특별시 중랑구 신내역로 111, 신내에스케이브이원센터 B동423호,424호 (신내동, 신내에스케이브이1센터)",주 5일 근무 / 오전 (9시00분 ~ 12시30분) 또는 오후 (2시00분 ~ 6시00분) 중 택일,훈련기간이 있음,,,"시급 9,860원 이상 ~ 9,860원 이하",,,,,02-2214-8115,,~ 20240731,"방문, 워크넷, 이메일",,,"['지체장애(경증)', '청각장애(경증)', '뇌병변장애(경증)']","['지체장애(중증)', '시각장애(중증)', '정신장애']","근무복, 작업복 및 유사의복 제조업",16 명,서영임,중소기업,"02262 서울특별시 중랑구 신내역로 111 (신내동, 신내에스케이브이1센터)"
설치·정비·생산·화학·환경·섬유·의복·식품가공,"[장애인 재용] 의류 포장, 단순작업 등 직원 채용 공고","(주)신호에이피엘(SHINHOAPLCo.,Ltd)",관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약(시간(선택)제),"의류 포장 및 검사, 검수 등","티셔츠, 점퍼, 앞치마 등 의류 포장 및 검사검수, 미싱 보조 등",,,"(02262) 서울특별시 중랑구 신내역로 111 (신내동, 신내에스케이브이1센터)","주 5일 근무, (오전) 9시00분 ~ (오후) 12시30분 오전타임 / (오후) 2시00분 ~ (오후) 6시00분 오후타임","오전 오후 중 택일, 훈련기간 있음",,3개월 후 상용직 전환 검토,"시급 9,860원 이상",,,,,02-2214-8115,,~ 2024-07-31,"방문, 팩스, 워크넷, 이메일",,,"['지체장애(경증)', '뇌병변장애(경증)', '지적장애']","['시각장애(중증)', '청각장애(중증)']","근무복, 작업복 및 유사의복 제조업",16 명,서영임,중소기업,"02262 서울특별시 중랑구 신내역로 111 (신내동, 신내에스케이브이1센터)"
경영·사무·금융·보험,사무보조 (중증장애인만 채용),사단법인국민장애인복지협의회온누리,관계없음,학력무관,,,,장애인만 채용,출퇴근 가능한 중증 장애인만 채용,기간의 정함이 없는 근로계약(시간(선택)제),사무보조,"입찰정보조회, 자료검색, 업무보조",,,경기도 수원시 영통구,"주 5일, 오전/오후 선택 (오전) 9시 00분~(오후) 1시 30분, (오후) 1시 00분~(오후) 5시 30분",평균근무시간 : 20시간,,,"월급 1,100,000원 이상 ~ 1,100,000원 이하, 상여금 : 100% (미 포함)",,,"장애인용 주차장, 장애인용 화장실",,031-212-8825,,~ 20240831,워크넷,,,"['지체장애(중증)', '뇌병변장애(중증)']","['정신장애', '언어장애(중증)']",일반 화물자동차 운송업,14 명,신태근,,"16522 경기도 수원시 영통구 삼성로 274, 팩토리월드 상가동 305호,306호 (원천동)"
교육·법률·사회복지·경찰·소방 및 군인,사단법인하울회 발달장애인 주간활동서비스 제공인력 모집,㈔하울회,신입 / 경력,학력무관,,만 65세 이하,"사회복지학, 직업재활·특수교육 또는 장애인 재활 관련학, 교육학, 언어치료학, (사회)체육학, 건강관리학, 음악·미술 등",장애인만 채용,관련 자격증 소지자 및 사회복지기관에서의 경력자 우대,계약직,발달장애인 주간활동서비스 제공인력,"이용자 활동 지원(프로그램 계획 및 진행, 보호자 상담 등)",,,경기 부천시,"월~금 9:00~18:00, 토 9:00~17:00 (월 1회)",,,,월급 (면접 시 협의),,,,,010-3625-8333,haulhoe@naver.com,,이메일 접수,서류전형 > 1차면접 > 2차면접 > 임원면접 > 최종합격,,"['지체장애(경증)', '지체장애(중증)', '뇌병변장애(경증)', '뇌병변장애(중증)', '정신장애']","['청각장애(중증)', '언어장애(중증)']",,,,,
미용·여행·숙박·음식·경비·돌봄·청소,청소 미화 구인(장애인만 지원가능),의료법인동현의료재단,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약(시간(선택)제),청소 미화,동두천제일요양병원 건물 청소,,,"(11321) 경기도 동두천시 광암로 7, 동두천제일요양병원 (광암동)","주 5일, (오전) 8시 30분 ~ (오후) 1시 00분 (휴게시간 30분)","일일 4시간, 주 5일, 평균근무시간: 20시간",,,"월급 1,035,300원 이상",,,,,031-860-8808,,~ 2024.07.31,"팩스, 워크넷",,https://www.jeilhospital.co.kr/,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)', '언어장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '청각장애(중증)', '언어장애(중증)']",요양 병원,120 명,장태수,기타,"11321 경기도 동두천시 광암로 7, 동두천제일요양병원 (광암동)"
경영·사무·금융·보험,[장애인채용] 단시간 사무보조원,(주)코이스,관계없음,학력무관,,,,장애인만 채용,"MS Office 활용 가능자, 사무보조 업무 유경험자",계약직 (1개월 계약 후 만료 시점에 연장 여부 결정),사무보조원,문서작업 등의 사무보조,,,서울특별시 강서구 마곡중앙14로 28,"주 5일, (오후) 1시 00분 ~ (오후) 4시 00분",기간의 정함이 있는 근로계약 (1개월),,,"월급 800,000원 이상 ~ 800,000원 이하",1개월,,,,02-3488-8357,,~ 2024-07-23,"팩스, 워크넷",,,"['지체장애(경증)', '뇌병변장애(경증)', '시각장애(경증)', '청각장애(경증)', '언어장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '시각장애(중증)', '청각장애(중증)', '언어장애(중증)', '정신장애']",광고 대행업,60 명,허찬,중소기업,"07789 서울특별시 강서구 마곡중앙14로 28 (마곡동, 코이스)"
보건·의료,병동 환자 이송 직원 채용(장애인 채용),(의법)광혜의료재단광혜병원,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약12 개월/ 계약기간 만료 후 상용직전환검토,병동 환자 이송,병동 환자 이송 업무,,,(47821) 부산광역시 동래구 충렬대로 96 (온천동),"주 6일 근무, 월~금: 08:00~16:00, 토(격주): 08:00~12:30",,,,"월급 1,903,000원 이상 ~ 1,903,000원 이하",,,,,051-590-3385,,~ 채용시까지,"우편,팩스,워크넷,이메일",,,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)', '언어장애(경증)', '안면장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '청각장애(중증)', '언어장애(중증)', '안면장애(중증)']",종합 병원,334 명,이광웅,기타,47821 부산광역시 동래구 충렬대로 96 (온천동)
교육·법률·사회복지·경찰·소방 및 군인,(재)청주복지재단 직원채용(일반직) 공모,재단법인 청주복지재단,경력 (최소 2년 1개월 이상) 필수,대졸(2~3년) - 대졸(4년),,,,장애인만 채용,보훈취업지원대상자,기간의 정함이 없는 근로계약,,"청주시 복지종사자 법률 지원사업, 사회복지시설 법정 교육 지원사업, 복지종사자 안전 및 보호 강화 지원사업",,,(28702) 충청북도 청주시 서원구 무심서로 333 (모충동),"주 5일 (오전 9시 00분 ~ 오후 6시 00분), 평균 근무시간: 40시간",,,,"연봉 26,780,000원 이상",,,,,043-222-3832,,~ 2024-07-19,이메일,,https://www.ablejob.co.kr/recruit/www.cjwf.net,"['지체장애(경증)', '뇌병변장애(경증)', '정신장애']","['청각장애(중증)', '언어장애(중증)']",그 외 기타 협회 및 단체,20 명,이범석,기타,28702 충청북도 청주시 서원구 무심서로 333 (모충동)
미용·여행·숙박·음식·경비·돌봄·청소,주방보조 직원 모집 - 복지카드 소지자 모집,오씨아이드림 주식회사,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 12개월/ 계약기간 만료 후 상용직 전환 검토,주방 보조,식기 세척 등 주방 보조업무 수행,,,"(04532) 서울특별시 중구 소공로 94, 2층 (소공동)","주 5일 근무, 평균 근무시간: 20시간",오전 근무: 11시 - 15시 30분 / 오후 근무: 16시 - 20시 30분,,,"월급 1,050,000원 이상 ~ 1,050,000원 이하",,,"장애인용 주차장, 장애인용 승강기, 장애인용 화장실",,02-721-9513,wjju@ocidream.co.kr,~ 채용시까지,워크넷,,,"['지체장애(경증)', '지체장애(중증)', '뇌병변장애(경증)', '뇌병변장애(중증)', '청각장애(경증)', '청각장애(중증)']",['정신장애'],상용 인력 공급 및 인사관리 서비스업,66 명,이지현,대기업,"04532 서울특별시 중구 소공로 94, 2층 (소공동)"
설치·정비·생산·기계·금속·재료,[장애인만 채용] 생산직 채용,주식회사아이앤프렌즈,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 6 개월 / 계약기간 만료 후 상용직 전환 검토,기계부품 조립 및 검수 업무,,,,"(25243) 강원특별자치도 횡성군 우천면 정문로 88, 일륭기공(주)내공장에이동","주 5일 근무, 주간근무 시간 08:30~17:30, 야간근무시간 19:30~04:30",주간고정 또는 주야 교대근무,"중식 제공, 통근버스, 4대보험, 경영성과금, 상여금",,"월급 2,061,000원 이상, 상여금: 250% (미 포함)",,,건물 내부 경사로,,033-340-5051,,~ 2024-07-28,워크넷,,,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)']","['시각장애(중증)', '언어장애(중증)']",자동차용 신품 조향장치 및 현가장치 제조업,11 명,이상원,중소기업,"25243 강원특별자치도 횡성군 우천면 정문로 88, 일륭기공(주)내공장에이동"
교육·법률·사회복지·경찰·소방 및 군인,발달장애인 주간/방과후 활동서비스 제공인력 모집,채움과 이룸,경력무관,대졸(4년),,,,장애인만 채용,장기근무 가능자,정규직,발달장애인 주간/방과후 활동서비스 제공인력,"발달장애인 주간활동 및 방과후활동 프로그램 수립, 운영, 돌봄서비스 제공",,,경기 안산시,,,,,회사 내규에 따름 (면접 시 협의),,,,,,,,,서류전형 > 1차면접 > 최종합격,,"['지적장애', '자폐성장애']","['지체장애(중증)', '청각장애(중증)']",,,,,"경기 안산시 단원구 원포공원1로 64 (초지동, 키즈타워2)"
예술·디자인·방송·스포츠,[인터파크씨어터] 디자이너 채용,（주）인터파크씨어터,신입,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 6개월 / 계약기간 만료 후 상용직 전환 검토,디자이너,사내 배너/포스터/MD 등 디자인,,,(04399) 서울특별시 용산구 이태원로 294 (한남동),"주 5일, (오전) 10시 00분 ~ (오후) 5시 00분",주 5일 근무,,,"시급 9,860원 이상, 면접 후 재조정 가능",,,,,02-6399-7466,,~ 2024-07-18,"워크넷, 이메일",,,"['지체장애(경증)', '시각장애(경증)']","['뇌병변장애(중증)', '청각장애(중증)']",공연시설 운영업,90 명,최휘영,중견기업,04399 서울특별시 용산구 이태원로 294 (한남동)
미용·여행·숙박·음식·경비·돌봄·청소,양산 산막공단 24시간 경비원 구인,(주) 굿텍,관계없음,학력무관,,,,장애인만 채용,"복지카드 소지자 및 국가유공자, 차량소지자, 인근거주자",기간의 정함이 없는 근로계약,경비원,24시간 격일제 경비 업무,,,(50567) 경상남도 양산시 산막동 산막공단북1길 31,"주 4일 근무, (오전) 7시 00분 ~ (오전) 7시 00분",24시간 격일제,,,"월급 1,951,600원 이상 ~ 1,951,600원 이하",,,,담당자,051-364-4330,goodtech2@hanmail.net,~ 20240722,"팩스, 워크넷, 이메일",,https://www.ablejob.co.kr/recruit/good-tec.co.kr,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)']","['뇌병변장애(중증)', '정신장애']",온라인 활용 마케팅 및 관련 사업지원 서비스업,350 명,한용기,중소기업,"46524 부산광역시 북구 화명신도시로 133 (화명동, 웨스트포인트빌딩)"
경영·사무·금융·보험,모두누리 직업재활센터 복지일자리(참여형) 공개채용,모두누리직업재활센터,관계없음,학력무관,,만 18세 이상,,장애인만 채용,,기간의 정함이 있는 근로계약 6 개월,사무보조,"복지일자리 참여자 모집, 사회참여 확대 및 소득보장 도모",,,"서울특별시 구로구 디지털로27길 24, 506호, 102-1호 (구로동, 벽산디지털밸리1차)","주 5일, (오전) 9시 00분 ~ (정오) 12시 00분",,"산재보험, 고용보험 필수 가입",2024년 7월부터 12월까지 (6개월),"시급 9,860원 이상, 월 552,160원",6개월,,,김선자 (직업훈련교사),070-7725-4325,,2024. 07. 01. ~ 2024. 09. 30.,이메일,,http://www.xn--od1bo7bw7gz2a.kr/,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)']","['정신장애', '지적장애']",그 외 기타 비거주 복지 서비스업,30 명,김성훈,기타,"서울특별시 구로구 디지털로27길 24, 506호, 102-1호 (구로동, 벽산디지털밸리1차)"
교육·법률·사회복지·경찰·소방 및 군인,장애인활동지원사업 활동지원사 채용 공고,김해돌봄지원센터사회적협동조합,관계없음,학력무관,,,,장애인만 채용,주말근무 가능자 우대,기간의 정함이 없는 근로계약(시간(선택)제),장애인활동지원사업 활동지원사,"장애인활동지원서비스를 이용중인 세대에 방문하여 신체활동, 가사활동, 사회활동, 기타활동지원",,,경상남도 김해시 구산로27번길 4-2 (구산동),"평일 09:00 ~ 16:30, 주 6일 근무",,,,"시급 12,400원",,,,,055-724-0515,,~ 2024-07-31,방문,채용 시 까지,,"['지체장애(경증)', '뇌병변장애(경증)', '정신장애']","['시각장애(중증)', '청각장애(중증)']",사회복지 상담서비스 제공업,130 명,이소라,기타,50905 경상남도 김해시 구산로27번길 4-2 (구산동)
경영·사무·금융·보험,[장애인 채용] 사무보조 파트타이머 채용,스타법무법인,신입,학력무관,,,,장애인만 채용,"컴퓨터 활용능력 자격증 보유자, 6개월 이상 장기 근무 가능자",기간의 정함이 있는 근로계약(시간(선택)제)3 개월/ 계약기간 만료 후 상용직 전환 검토,사무보조,"전반적 사무보조, 문서작성, 고객응대 및 상담예약, 법원 등 출장, 사무환경 개선",,,"대구광역시 중구 달구벌대로 2095, 11층","주 3일 근무, 일 5시간 (휴게시간 30분) / 주 5일 근무, 일 3시간 (휴게시간 없음) / 주 2일 근무, 일 8시간 (휴게시간 1시간)",협의가능,,3개월 계약 후 전환 가능,"시급 9,860원 이상",3개월,,,,070-8802-5068,,~ 2024-07-31,워크넷,,https://www.ablejob.co.kr/recruit/www.star-law.com,"['지체장애(경증)', '뇌병변장애(경증)', '언어장애(경증)']","['청각장애(중증)', '정신장애']",기타 법무관련 서비스업,126 명,최진기,중소기업,"대구광역시 중구 달구벌대로 2095 (덕산동, 삼성생명 빌딩)"
미용·여행·숙박·음식·경비·돌봄·청소,아파트 경비반장 채용,주식회사이데아그룹,관계없음,학력무관,,(준)고령자(50세이상),,장애인만 채용,"고용촉진장려금대상자, 보훈취업지원대상자, 북한이탈주민",기간의 정함이 없는 근로계약,아파트 경비반장,아파트 경비 및 안전 관리,,,"(14579) 경기도 부천시 원미구 조마루로285번길 47 (중동, 미리내마을)","주 3일 근무, 6시 교대",상시근로,,,"월급 2,226,000원 이상 ~ 2,226,000원 이하",,,,,,,~ 채용시까지,방문,,,"['지체장애(경증)', '청각장애(경증)', '뇌전증장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '정신장애']",임시 및 일용 인력 공급업,2300 명,이건희,,"14555 경기도 부천시 원미구 부천로198번길 27, 204호 (춘의동)"
미용·여행·숙박·음식·경비·돌봄·청소,[장애인만 채용] 청소 직무 2명 채용,두리두리사업단,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약,청소 및 소독방역,청소 및 소독방역,,,"충청남도 천안시 서북구 백석공단1로 10, 에스비116호 (백석동)","평일 : (근무시간) (오전) 8시 00분 ~ (오후) 12시 30분, 주 5일 근무",주 5일 근무,,,"시급 9,860원 이상",,,,,041-551-2999,,~ 20240719,워크넷,,,"['지체장애(경증)', '청각장애(경증)']","['시각장애(중증)', '뇌병변장애(중증)']",건축물 일반 청소업,35 명,고준희,,"31094 충청남도 천안시 서북구 백석공단1로 10, 에스비116호 (백석동)"
